"filename", "language", "Markdown", "TypeScript", "JSON", "HTML", "TypeScript JSX", "JavaScript", "JSON with Comments", "CSS", "comment", "blank", "total"
"c:\dev\terminal-sheet\.claude\settings.local.json", "JSON", 0, 0, 29, 0, 0, 0, 0, 0, 0, 1, 30
"c:\dev\terminal-sheet\.prettierrc.json", "JSON", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\dev\terminal-sheet\AGENTS.md", "Markdown", 24, 0, 0, 0, 0, 0, 0, 0, 0, 9, 33
"c:\dev\terminal-sheet\IMPLEMENTATION.md", "Markdown", 373, 0, 0, 0, 0, 0, 0, 0, 0, 155, 528
"c:\dev\terminal-sheet\MULTI_SERVER.md", "Markdown", 73, 0, 0, 0, 0, 0, 0, 0, 0, 11, 84
"c:\dev\terminal-sheet\PRD.md", "Markdown", 425, 0, 0, 0, 0, 0, 0, 0, 0, 193, 618
"c:\dev\terminal-sheet\REFACTOR.md", "Markdown", 425, 0, 0, 0, 0, 0, 0, 0, 0, 219, 644
"c:\dev\terminal-sheet\REFACTOR_2.md", "Markdown", 488, 0, 0, 0, 0, 0, 0, 0, 0, 208, 696
"c:\dev\terminal-sheet\REMOTE_BACKENDS.md", "Markdown", 114, 0, 0, 0, 0, 0, 0, 0, 0, 58, 172
"c:\dev\terminal-sheet\REPO_HOOK_TRACKING.md", "Markdown", 124, 0, 0, 0, 0, 0, 0, 0, 0, 79, 203
"c:\dev\terminal-sheet\TERMINAL_UNIFICATION.md", "Markdown", 146, 0, 0, 0, 0, 0, 0, 0, 0, 74, 220
"c:\dev\terminal-sheet\TERM_SIZE.md", "Markdown", 140, 0, 0, 0, 0, 0, 0, 0, 0, 86, 226
"c:\dev\terminal-sheet\docs\TERMINAL_BEHAVIOUR.md", "Markdown", 22, 0, 0, 0, 0, 0, 0, 0, 0, 12, 34
"c:\dev\terminal-sheet\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 48, 0, 0, 0, 2, 50
"c:\dev\terminal-sheet\index.html", "HTML", 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"c:\dev\terminal-sheet\package-lock.json", "JSON", 0, 0, 7943, 0, 0, 0, 0, 0, 0, 1, 7944
"c:\dev\terminal-sheet\package.json", "JSON", 0, 0, 80, 0, 0, 0, 0, 0, 0, 1, 81
"c:\dev\terminal-sheet\src\cli\index.ts", "TypeScript", 0, 461, 0, 0, 0, 0, 0, 0, 0, 68, 529
"c:\dev\terminal-sheet\src\dev\analyzeHeapSnapshots.ts", "TypeScript", 0, 250, 0, 0, 0, 0, 0, 0, 0, 46, 296
"c:\dev\terminal-sheet\src\dev\analyzePerformanceTrace.ts", "TypeScript", 0, 253, 0, 0, 0, 0, 0, 0, 0, 53, 306
"c:\dev\terminal-sheet\src\dev\devLauncher.ts", "TypeScript", 0, 313, 0, 0, 0, 0, 0, 0, 2, 61, 376
